Matricule,"Course Code","Ca Marks",Semester,"Academic year"
MIT/22/0005,"BMS 118",31,1,2022/2023
MIT/22/0006,"BMS 118",13,1,2022/2023
MIT/22/0010,"BMS 118",23,1,2022/2023
MIT/22/0012,"BMS 118",21,1,2022/2023
MIT/22/0013,"BMS 118",23,1,2022/2023
MIT/22/0015,"BMS 118",19,1,2022/2023
MIT/22/0016,"BMS 118",25,1,2022/2023
MIT/22/0018,"BMS 118",20,1,2022/2023
MIT/22/0021,"BMS 118",23,1,2022/2023
MIT/22/0023,"BMS 118",27,1,2022/2023
MIT/22/0028,"BMS 118",21,1,2022/2023
MIT/22/0030,"BMS 118",22,1,2022/2023
MIT/22/0031,"BMS 118",23,1,2022/2023
MIT/22/0032,"BMS 118",14,1,2022/2023
MIT/22/0033,"BMS 118",28,1,2022/2023
MIT/22/0040,"BMS 118",21,1,2022/2023
MIT/22/0046,"BMS 118",21,1,2022/2023
MIT/22/0047,"BMS 118",19,1,2022/2023
MIT/22/0051,"BMS 118",21,1,2022/2023
MIT/22/0002,"ICT 101",18,1,2022/2023
MIT/22/0005,"ICT 101",22,1,2022/2023
MIT/22/0006,"ICT 101",26,1,2022/2023
MIT/22/0010,"ICT 101",26,1,2022/2023
MIT/22/0012,"ICT 101",29,1,2022/2023
MIT/22/0013,"ICT 101",29,1,2022/2023
MIT/22/0015,"ICT 101",31,1,2022/2023
MIT/22/0016,"ICT 101",38,1,2022/2023
MIT/22/0018,"ICT 101",33,1,2022/2023
MIT/22/0021,"ICT 101",26,1,2022/2023
MIT/22/0023,"ICT 101",25,1,2022/2023
MIT/22/0028,"ICT 101",30,1,2022/2023
MIT/22/0030,"ICT 101",31,1,2022/2023
MIT/22/0031,"ICT 101",32,1,2022/2023
MIT/22/0032,"ICT 101",23,1,2022/2023
MIT/22/0033,"ICT 101",24,1,2022/2023
MIT/22/0040,"ICT 101",29,1,2022/2023
MIT/22/0046,"ICT 101",30,1,2022/2023
MIT/22/0047,"ICT 101",35,1,2022/2023
MIT/22/0051,"ICT 101",39,1,2022/2023
MIT/22/0002,"ENG 101",24,1,2022/2023
MIT/22/0005,"ENG 101",22,1,2022/2023
MIT/22/0006,"ENG 101",22,1,2022/2023
MIT/22/0010,"ENG 101",22,1,2022/2023
MIT/22/0012,"ENG 101",32,1,2022/2023
MIT/22/0013,"ENG 101",23,1,2022/2023
MIT/22/0015,"ENG 101",28,1,2022/2023
MIT/22/0016,"ENG 101",21,1,2022/2023
MIT/22/0018,"ENG 101",21,1,2022/2023
MIT/22/0021,"ENG 101",20,1,2022/2023
MIT/22/0023,"ENG 101",20,1,2022/2023
MIT/22/0028,"ENG 101",24,1,2022/2023
MIT/22/0030,"ENG 101",21,1,2022/2023
MIT/22/0031,"ENG 101",23,1,2022/2023
MIT/22/0032,"ENG 101",30,1,2022/2023
MIT/22/0033,"ENG 101",20,1,2022/2023
MIT/22/0040,"ENG 101",28,1,2022/2023
MIT/22/0046,"ENG 101",24,1,2022/2023
MIT/22/0047,"ENG 101",16,1,2022/2023
MIT/22/0051,"ENG 101",25,1,2022/2023
MIT/22/0002,"FRE 101",24,1,2022/2023
MIT/22/0005,"FRE 101",25,1,2022/2023
MIT/22/0006,"FRE 101",30,1,2022/2023
MIT/22/0010,"FRE 101",21,1,2022/2023
MIT/22/0012,"FRE 101",17,1,2022/2023
MIT/22/0013,"FRE 101",18,1,2022/2023
MIT/22/0015,"FRE 101",27,1,2022/2023
MIT/22/0016,"FRE 101",18,1,2022/2023
MIT/22/0018,"FRE 101",14,1,2022/2023
MIT/22/0021,"FRE 101",28,1,2022/2023
MIT/22/0023,"FRE 101",23,1,2022/2023
MIT/22/0028,"FRE 101",29,1,2022/2023
MIT/22/0030,"FRE 101",21,1,2022/2023
MIT/22/0031,"FRE 101",15,1,2022/2023
MIT/22/0032,"FRE 101",24,1,2022/2023
MIT/22/0033,"FRE 101",35,1,2022/2023
MIT/22/0040,"FRE 101",10,1,2022/2023
MIT/22/0046,"FRE 101",33,1,2022/2023
MIT/22/0047,"FRE 101",35,1,2022/2023
MIT/22/0051,"FRE 101",35,1,2022/2023
MIT/22/0002,"BMS 1110",22,1,2022/2023
MIT/22/0005,"BMS 1110",16,1,2022/2023
MIT/22/0006,"BMS 1110",22,1,2022/2023
MIT/22/0010,"BMS 1110",17,1,2022/2023
MIT/22/0012,"BMS 1110",32,1,2022/2023
MIT/22/0013,"BMS 1110",18,1,2022/2023
MIT/22/0015,"BMS 1110",27,1,2022/2023
MIT/22/0016,"BMS 1110",21,1,2022/2023
MIT/22/0018,"BMS 1110",25,1,2022/2023
MIT/22/0021,"BMS 1110",25,1,2022/2023
MIT/22/0023,"BMS 1110",23,1,2022/2023
MIT/22/0028,"BMS 1110",20,1,2022/2023
MIT/22/0030,"BMS 1110",28,1,2022/2023
MIT/22/0031,"BMS 1110",23,1,2022/2023
MIT/22/0032,"BMS 1110",23,1,2022/2023
MIT/22/0033,"BMS 1110",17,1,2022/2023
MIT/22/0040,"BMS 1110",30,1,2022/2023
MIT/22/0046,"BMS 1110",21,1,2022/2023
MIT/22/0047,"BMS 1110",23,1,2022/2023
MIT/22/0051,"BMS 1110",31,1,2022/2023
MLS/22/0012,"BMS 111",34,1,2022/2023
MLS/22/0027,"BMS 111",33,1,2022/2023
MLS/22/0025,"BMS 111",33,1,2022/2023
MLS/22/0045,"BMS 111",31,1,2022/2023
MLS/22/0068,"BMS 111",26,1,2022/2023
MLS/22/0019,"BMS 111",22,1,2022/2023
MLS/22/0075,"BMS 111",30,1,2022/2023
MLS/22/0003,"BMS 111",30,1,2022/2023
MLS/22/0020,"BMS 111",37,1,2022/2023
MLS/22/0044,"BMS 111",25,1,2022/2023
MLS/22/0041,"BMS 111",28,1,2022/2023
MLS/22/0070,"BMS 111",29,1,2022/2023
MLS/22/0050,"BMS 111",31,1,2022/2023
MLS/22/0022,"BMS 111",35,1,2022/2023
MLS/22/0001,"BMS 111",23,1,2022/2023
MLS/22/0066,"BMS 111",27,1,2022/2023
MLS/22/0002,"BMS 111",26,1,2022/2023
MLS/22/0033,"BMS 111",23,1,2022/2023
MLS/22/0031,"BMS 111",25,1,2022/2023
MLS/22/0042,"BMS 111",24,1,2022/2023
MLS/22/0008,"BMS 111",31,1,2022/2023
MLS/22/0051,"BMS 111",30,1,2022/2023
MLS/22/0040,"BMS 111",21,1,2022/2023
MLS/22/0030,"BMS 111",34,1,2022/2023
MLS/22/0012,"BMS 112",26,1,2022/2023
MLS/22/0027,"BMS 112",32,1,2022/2023
MLS/22/0025,"BMS 112",26,1,2022/2023
MLS/22/0045,"BMS 112",27,1,2022/2023
MLS/22/0068,"BMS 112",33,1,2022/2023
MLS/22/0019,"BMS 112",15,1,2022/2023
MLS/22/0075,"BMS 112",30,1,2022/2023
MLS/22/0003,"BMS 112",32,1,2022/2023
MLS/22/0020,"BMS 112",32,1,2022/2023
MLS/22/0044,"BMS 112",21,1,2022/2023
MLS/22/0041,"BMS 112",25,1,2022/2023
MLS/22/0070,"BMS 112",30,1,2022/2023
MLS/22/0050,"BMS 112",29,1,2022/2023
MLS/22/0022,"BMS 112",28,1,2022/2023
MLS/22/0001,"BMS 112",20,1,2022/2023
MLS/22/0066,"BMS 112",29,1,2022/2023
MLS/22/0002,"BMS 112",26,1,2022/2023
MLS/22/0033,"BMS 112",33,1,2022/2023
MLS/22/0031,"BMS 112",29,1,2022/2023
MLS/22/0042,"BMS 112",28,1,2022/2023
MLS/22/0008,"BMS 112",28,1,2022/2023
MLS/22/0051,"BMS 112",24,1,2022/2023
MLS/22/0040,"BMS 112",20,1,2022/2023
MLS/22/0030,"BMS 112",24,1,2022/2023
MLS/22/0001,"MLC 101",9,1,2022/2023
MLS/22/0002,"MLC 101",19,1,2022/2023
MLS/22/0003,"MLC 101",15,1,2022/2023
MLS/22/0008,"MLC 101",18,1,2022/2023
MLS/22/0012,"MLC 101",20,1,2022/2023
MLS/22/0019,"MLC 101",13,1,2022/2023
MLS/22/0020,"MLC 101",35,1,2022/2023
MLS/22/0022,"MLC 101",23,1,2022/2023
MLS/22/0025,"MLC 101",20,1,2022/2023
MLS/22/0027,"MLC 101",28,1,2022/2023
MLS/22/0030,"MLC 101",13,1,2022/2023
MLS/22/0031,"MLC 101",17,1,2022/2023
MLS/22/0033,"MLC 101",17,1,2022/2023
MLS/22/0040,"MLC 101",10,1,2022/2023
MLS/22/0041,"MLC 101",17,1,2022/2023
MLS/22/0042,"MLC 101",16,1,2022/2023
MLS/22/0044,"MLC 101",13,1,2022/2023
MLS/22/0045,"MLC 101",24,1,2022/2023
MLS/22/0050,"MLC 101",24,1,2022/2023
MLS/22/0051,"MLC 101",15,1,2022/2023
MLS/22/0066,"MLC 101",31,1,2022/2023
MLS/22/0068,"MLC 101",30,1,2022/2023
MLS/22/0070,"MLC 101",25,1,2022/2023
MLS/22/0075,"MLC 101",17,1,2022/2023
MLS/22/0012,"BMS 113",30,1,2022/2023
MLS/22/0027,"BMS 113",22,1,2022/2023
MLS/22/0025,"BMS 113",23,1,2022/2023
MLS/22/0045,"BMS 113",31,1,2022/2023
MLS/22/0068,"BMS 113",25,1,2022/2023
MLS/22/0019,"BMS 113",20,1,2022/2023
MLS/22/0075,"BMS 113",24,1,2022/2023
MLS/22/0003,"BMS 113",28,1,2022/2023
MLS/22/0020,"BMS 113",29,1,2022/2023
MLS/22/0044,"BMS 113",18,1,2022/2023
MLS/22/0041,"BMS 113",18,1,2022/2023
MLS/22/0070,"BMS 113",20,1,2022/2023
MLS/22/0050,"BMS 113",30,1,2022/2023
MLS/22/0022,"BMS 113",20,1,2022/2023
MLS/22/0001,"BMS 113",20,1,2022/2023
MLS/22/0066,"BMS 113",24,1,2022/2023
MLS/22/0002,"BMS 113",28,1,2022/2023
MLS/22/0033,"BMS 113",18,1,2022/2023
MLS/22/0031,"BMS 113",24,1,2022/2023
MLS/22/0042,"BMS 113",26,1,2022/2023
MLS/22/0008,"BMS 113",20,1,2022/2023
MLS/22/0051,"BMS 113",17,1,2022/2023
MLS/22/0040,"BMS 113",21,1,2022/2023
MLS/22/0030,"BMS 113",20,1,2022/2023
MLS/22/0012,"BMS 114",19,1,2022/2023
MLS/22/0027,"BMS 114",30,1,2022/2023
MLS/22/0025,"BMS 114",24,1,2022/2023
MLS/22/0045,"BMS 114",32,1,2022/2023
MLS/22/0068,"BMS 114",24,1,2022/2023
MLS/22/0019,"BMS 114",4,1,2022/2023
MLS/22/0075,"BMS 114",24,1,2022/2023
MLS/22/0003,"BMS 114",24,1,2022/2023
MLS/22/0020,"BMS 114",38,1,2022/2023
MLS/22/0044,"BMS 114",22,1,2022/2023
MLS/22/0041,"BMS 114",21,1,2022/2023
MLS/22/0070,"BMS 114",28,1,2022/2023
MLS/22/0050,"BMS 114",31,1,2022/2023
MLS/22/0022,"BMS 114",31,1,2022/2023
MLS/22/0001,"BMS 114",11,1,2022/2023
MLS/22/0066,"BMS 114",26,1,2022/2023
MLS/22/0002,"BMS 114",21,1,2022/2023
MLS/22/0033,"BMS 114",27,1,2022/2023
MLS/22/0031,"BMS 114",35,1,2022/2023
MLS/22/0042,"BMS 114",21,1,2022/2023
MLS/22/0008,"BMS 114",27,1,2022/2023
MLS/22/0051,"BMS 114",16,1,2022/2023
MLS/22/0040,"BMS 114",19,1,2022/2023
MLS/22/0030,"BMS 114",25,1,2022/2023
MLS/22/0012,"BMS 115",20,1,2022/2023
MLS/22/0027,"BMS 115",20,1,2022/2023
MLS/22/0025,"BMS 115",24,1,2022/2023
MLS/22/0045,"BMS 115",25,1,2022/2023
MLS/22/0068,"BMS 115",26,1,2022/2023
MLS/22/0019,"BMS 115",18,1,2022/2023
MLS/22/0075,"BMS 115",18,1,2022/2023
MLS/22/0003,"BMS 115",20,1,2022/2023
MLS/22/0020,"BMS 115",23,1,2022/2023
MLS/22/0044,"BMS 115",23,1,2022/2023
MLS/22/0041,"BMS 115",18,1,2022/2023
MLS/22/0070,"BMS 115",23,1,2022/2023
MLS/22/0050,"BMS 115",19,1,2022/2023
MLS/22/0022,"BMS 115",23,1,2022/2023
MLS/22/0001,"BMS 115",19,1,2022/2023
MLS/22/0066,"BMS 115",20,1,2022/2023
MLS/22/0002,"BMS 115",20,1,2022/2023
MLS/22/0033,"BMS 115",20,1,2022/2023
MLS/22/0031,"BMS 115",23,1,2022/2023
MLS/22/0042,"BMS 115",18,1,2022/2023
MLS/22/0008,"BMS 115",16,1,2022/2023
MLS/22/0051,"BMS 115",23,1,2022/2023
MLS/22/0040,"BMS 115",18,1,2022/2023
MLS/22/0030,"BMS 115",18,1,2022/2023
MLS/22/0075,"BMS 116",23,1,2022/2023
MLS/22/0070,"BMS 116",30,1,2022/2023
MLS/22/0001,"BMS 116",26,1,2022/2023
MLS/22/0002,"BMS 116",25,1,2022/2023
MLS/22/0003,"BMS 116",31,1,2022/2023
MLS/22/0008,"BMS 116",28,1,2022/2023
MLS/22/0012,"BMS 116",27,1,2022/2023
MLS/22/0019,"BMS 116",21,1,2022/2023
MLS/22/0027,"BMS 116",26,1,2022/2023
MLS/22/0025,"BMS 116",24,1,2022/2023
MLS/22/0022,"BMS 116",30,1,2022/2023
MLS/22/0020,"BMS 116",29,1,2022/2023
MLS/22/0030,"BMS 116",27,1,2022/2023
MLS/22/0031,"BMS 116",28,1,2022/2023
MLS/22/0041,"BMS 116",25,1,2022/2023
MLS/22/0033,"BMS 116",26,1,2022/2023
MLS/22/0040,"BMS 116",29,1,2022/2023
MLS/22/0045,"BMS 116",30,1,2022/2023
MLS/22/0044,"BMS 116",23,1,2022/2023
MLS/22/0042,"BMS 116",24,1,2022/2023
MLS/22/0050,"BMS 116",30,1,2022/2023
MLS/22/0051,"BMS 116",23,1,2022/2023
MLS/22/0066,"BMS 116",34,1,2022/2023
MLS/22/0068,"BMS 116",30,1,2022/2023
MLS/22/0001,"BMS 117",20,1,2022/2023
MLS/22/0002,"BMS 117",23,1,2022/2023
MLS/22/0003,"BMS 117",34,1,2022/2023
MLS/22/0008,"BMS 117",26,1,2022/2023
MLS/22/0012,"BMS 117",29,1,2022/2023
MLS/22/0019,"BMS 117",19,1,2022/2023
MLS/22/0020,"BMS 117",26,1,2022/2023
MLS/22/0022,"BMS 117",24,1,2022/2023
MLS/22/0025,"BMS 117",25,1,2022/2023
MLS/22/0027,"BMS 117",30,1,2022/2023
MLS/22/0030,"BMS 117",28,1,2022/2023
MLS/22/0031,"BMS 117",23,1,2022/2023
MLS/22/0033,"BMS 117",22,1,2022/2023
MLS/22/0040,"BMS 117",21,1,2022/2023
MLS/22/0041,"BMS 117",23,1,2022/2023
MLS/22/0042,"BMS 117",22,1,2022/2023
MLS/22/0044,"BMS 117",26,1,2022/2023
MLS/22/0045,"BMS 117",31,1,2022/2023
MLS/22/0050,"BMS 117",25,1,2022/2023
MLS/22/0051,"BMS 117",19,1,2022/2023
MLS/22/0066,"BMS 117",28,1,2022/2023
MLS/22/0068,"BMS 117",25,1,2022/2023
MLS/22/0070,"BMS 117",26,1,2022/2023
MLS/22/0075,"BMS 117",28,1,2022/2023
MLS/22/0001,"BMS 118",23,1,2022/2023
MLS/22/0002,"BMS 118",19,1,2022/2023
MLS/22/0003,"BMS 118",23,1,2022/2023
MLS/22/0008,"BMS 118",16,1,2022/2023
MLS/22/0012,"BMS 118",26,1,2022/2023
MLS/22/0019,"BMS 118",11,1,2022/2023
MLS/22/0020,"BMS 118",23,1,2022/2023
MLS/22/0022,"BMS 118",21,1,2022/2023
MLS/22/0025,"BMS 118",21,1,2022/2023
MLS/22/0027,"BMS 118",25,1,2022/2023
MLS/22/0030,"BMS 118",18,1,2022/2023
MLS/22/0031,"BMS 118",23,1,2022/2023
MLS/22/0033,"BMS 118",20,1,2022/2023
MLS/22/0040,"BMS 118",18,1,2022/2023
MLS/22/0041,"BMS 118",20,1,2022/2023
MLS/22/0042,"BMS 118",15,1,2022/2023
MLS/22/0044,"BMS 118",20,1,2022/2023
MLS/22/0045,"BMS 118",27,1,2022/2023
MLS/22/0050,"BMS 118",20,1,2022/2023
MLS/22/0051,"BMS 118",15,1,2022/2023
MLS/22/0066,"BMS 118",21,1,2022/2023
MLS/22/0068,"BMS 118",21,1,2022/2023
MLS/22/0070,"BMS 118",25,1,2022/2023
MLS/22/0075,"BMS 118",23,1,2022/2023
MLS/22/0001,"ICT 101",29,1,2022/2023
MLS/22/0002,"ICT 101",29,1,2022/2023
MLS/22/0003,"ICT 101",31,1,2022/2023
MLS/22/0008,"ICT 101",31,1,2022/2023
MLS/22/0012,"ICT 101",27,1,2022/2023
MLS/22/0019,"ICT 101",18,1,2022/2023
MLS/22/0020,"ICT 101",33,1,2022/2023
MLS/22/0022,"ICT 101",23,1,2022/2023
MLS/22/0025,"ICT 101",29,1,2022/2023
MLS/22/0027,"ICT 101",30,1,2022/2023
MLS/22/0030,"ICT 101",27,1,2022/2023
MLS/22/0031,"ICT 101",33,1,2022/2023
MLS/22/0033,"ICT 101",31,1,2022/2023
MLS/22/0040,"ICT 101",22,1,2022/2023
MLS/22/0041,"ICT 101",23,1,2022/2023
MLS/22/0042,"ICT 101",29,1,2022/2023
MLS/22/0044,"ICT 101",21,1,2022/2023
MLS/22/0045,"ICT 101",33,1,2022/2023
MLS/22/0050,"ICT 101",27,1,2022/2023
MLS/22/0051,"ICT 101",22,1,2022/2023
MLS/22/0066,"ICT 101",33,1,2022/2023
MLS/22/0068,"ICT 101",38,1,2022/2023
MLS/22/0070,"ICT 101",34,1,2022/2023
MLS/22/0075,"ICT 101",31,1,2022/2023
MLS/22/0001,"ENG 101",23,1,2022/2023
MLS/22/0002,"ENG 101",20,1,2022/2023
MLS/22/0003,"ENG 101",22,1,2022/2023
MLS/22/0008,"ENG 101",26,1,2022/2023
MLS/22/0012,"ENG 101",26,1,2022/2023
MLS/22/0019,"ENG 101",22,1,2022/2023
MLS/22/0020,"ENG 101",29,1,2022/2023
MLS/22/0022,"ENG 101",19,1,2022/2023
MLS/22/0025,"ENG 101",23,1,2022/2023
MLS/22/0027,"ENG 101",30,1,2022/2023
MLS/22/0030,"ENG 101",18,1,2022/2023
MLS/22/0031,"ENG 101",24,1,2022/2023
MLS/22/0033,"ENG 101",30,1,2022/2023
MLS/22/0040,"ENG 101",24,1,2022/2023
MLS/22/0041,"ENG 101",25,1,2022/2023
MLS/22/0042,"ENG 101",21,1,2022/2023
MLS/22/0044,"ENG 101",18,1,2022/2023
MLS/22/0045,"ENG 101",30,1,2022/2023
MLS/22/0050,"ENG 101",21,1,2022/2023
MLS/22/0051,"ENG 101",21,1,2022/2023
MLS/22/0066,"ENG 101",26,1,2022/2023
MLS/22/0068,"ENG 101",22,1,2022/2023
MLS/22/0070,"ENG 101",18,1,2022/2023
