MATRICULE ,code,CA,Exams,Semester,Academic year
MPH/22/0001,MPH 513,,52,1,2022/2023
MPH/22/0014,MPH 513,,43,1,2022/2023
MPH/22/0002,MPH 517,,55,1,2022/2023
MPH/22/0012,MPH 517,,39,1,2022/2023
MPH/22/0005,MPH 517,,44,1,2022/2023
MPH/22/0006,MPH 517,,58,1,2022/2023
MPH/22/0009,MPH 517,,40,1,2022/2023
MPH/22/0008,MPH 517,,52,1,2022/2023
MPH/22/0001,MPH 517,,53,1,2022/2023
MPH/22/0014,MPH 517,,30,1,2022/2023
MPH/22/0002,MPH 519,,48,1,2022/2023
MPH/22/0012,MPH 519,,57,1,2022/2023
MPH/22/0005,MPH 519,,46,1,2022/2023
MPH/22/0006,MPH 519,,56,1,2022/2023
MPH/22/0009,MPH 519,,41,1,2022/2023
MPH/22/0008,MPH 519,,53,1,2022/2023
MPH/22/0001,MPH 519,,54,1,2022/2023
MPH/22/0014,MPH 519,,48,1,2022/2023
MMI/22/0016,MIT 601,,43,1,2022/2023
MMI/22/0007,MIT 601,,33,1,2022/2023
MMI/22/0014,MIT 601,,31,1,2022/2023
MMI/22/0020,MIT 601,,43,1,2022/2023
MMI/22/0001,MIT 601,,61,1,2022/2023
MMI/22/0015,MIT 601,,39,1,2022/2023
MMI/22/0010,MIT 601,,30,1,2022/2023
MMI/22/0009,MIT 601,,39,1,2022/2023
MMI/22/0019,MIT 601,,28,1,2022/2023
MMI/22/0004,MIT 601,,59,1,2022/2023
MMI/22/0012,MIT 601,,36,1,2022/2023
MMI/22/0005,MIT 601,,61,1,2022/2023
MMI/22/0006,MIT 601,,51,1,2022/2023
MMI/22/0003,MIT 601,,46,1,2022/2023
MMI/22/0008,MIT 601,,32,1,2022/2023
MMI/22/0021,MIT 601,,35,1,2022/2023
MMI/22/0018,MIT 601,,32,1,2022/2023
MMI/22/0017,MIT 601,,26,1,2022/2023
MMI/22/0016,MIT 603,,29,1,2022/2023
MMI/22/0007,MIT 603,,51,1,2022/2023
MMI/22/0014,MIT 603,,63,1,2022/2023
MMI/22/0020,MIT 603,,36,1,2022/2023
MMI/22/0001,MIT 603,,44,1,2022/2023
MMI/22/0015,MIT 603,,46,1,2022/2023
MMI/22/0010,MIT 603,,44,1,2022/2023
MMI/22/0009,MIT 603,,46,1,2022/2023
MMI/22/0019,MIT 603,,29,1,2022/2023
MMI/22/0004,MIT 603,,56,1,2022/2023
MMI/22/0012,MIT 603,,41,1,2022/2023
MMI/22/0005,MIT 603,,65,1,2022/2023
MMI/22/0006,MIT 603,,51,1,2022/2023
MMI/22/0003,MIT 603,,58,1,2022/2023
MMI/22/0008,MIT 603,,60,1,2022/2023
MMI/22/0021,MIT 603,,39,1,2022/2023
MMI/22/0018,MIT 603,,27,1,2022/2023
MMI/22/0017,MIT 603,,24,1,2022/2023
MMI/22/0016,MIT 605,,35,1,2022/2023
MMI/22/0007,MIT 605,,38,1,2022/2023
MMI/22/0014,MIT 605,,51,1,2022/2023
MMI/22/0020,MIT 605,,50,1,2022/2023
MMI/22/0001,MIT 605,,56,1,2022/2023
MMI/22/0015,MIT 605,,52,1,2022/2023
MMI/22/0010,MIT 605,,39,1,2022/2023
MMI/22/0009,MIT 605,,54,1,2022/2023
MMI/22/0019,MIT 605,,43,1,2022/2023
MMI/22/0004,MIT 605,,66,1,2022/2023
MMI/22/0012,MIT 605,,52,1,2022/2023
MMI/22/0005,MIT 605,,58,1,2022/2023
MMI/22/0006,MIT 605,,60,1,2022/2023
MMI/22/0003,MIT 605,,61,1,2022/2023
MMI/22/0008,MIT 605,,61,1,2022/2023
MMI/22/0021,MIT 605,,32,1,2022/2023
MMI/22/0018,MIT 605,,26,1,2022/2023
MMI/22/0017,MIT 605,,21,1,2022/2023
MMI/22/0016,MIT 609,,45,1,2022/2023
MMI/22/0007,MIT 609,,39,1,2022/2023
MMI/22/0014,MIT 609,,57,1,2022/2023
MMI/22/0020,MIT 609,,47,1,2022/2023
MMI/22/0001,MIT 609,,50,1,2022/2023
MMI/22/0015,MIT 609,,42,1,2022/2023
MMI/22/0010,MIT 609,,57,1,2022/2023
MMI/22/0009,MIT 609,,50,1,2022/2023
MMI/22/0019,MIT 609,,29,1,2022/2023
MMI/22/0004,MIT 609,,49,1,2022/2023
MMI/22/0012,MIT 609,,48,1,2022/2023
MMI/22/0005,MIT 609,,47,1,2022/2023
MMI/22/0006,MIT 609,,60,1,2022/2023
MMI/22/0003,MIT 609,,51,1,2022/2023
MMI/22/0008,MIT 609,,43,1,2022/2023
MMI/22/0021,MIT 609,,33,1,2022/2023
MMI/22/0018,MIT 609,,40,1,2022/2023
MMI/22/0017,MIT 609,,25,1,2022/2023
MMI/22/0016,MIT 607,,33,1,2022/2023
MMI/22/0007,MIT 607,,33,1,2022/2023
MMI/22/0014,MIT 607,,38,1,2022/2023
MMI/22/0020,MIT 607,,46,1,2022/2023
MMI/22/0001,MIT 607,,40,1,2022/2023
MMI/22/0015,MIT 607,,24,1,2022/2023
MMI/22/0010,MIT 607,,35,1,2022/2023
MMI/22/0009,MIT 607,,45,1,2022/2023
MMI/22/0019,MIT 607,,33,1,2022/2023
MMI/22/0004,MIT 607,,42,1,2022/2023
MMI/22/0012,MIT 607,,39,1,2022/2023
MMI/22/0005,MIT 607,,46,1,2022/2023
MMI/22/0006,MIT 607,,42,1,2022/2023
MMI/22/0003,MIT 607,,49,1,2022/2023
MMI/22/0008,MIT 607,,37,1,2022/2023
MMI/22/0021,MIT 607,,33,1,2022/2023
MMI/22/0018,MIT 607,,11,1,2022/2023
MMI/22/0017,MIT 607,,33,1,2022/2023
