Matricule,Course Code,Ca Marks
DEN/21/0025,DHT234,19
PHY/21/0015,DHT234,22
DEN/22/0029,DHT234,19
DEN/21/0029,DHT234,22
DEN/21/0027,DHT234,24
PHY/21/0015,DHT233,25
DEN/21/0025,DHT233,26
DEN/21/0026,DHT233,33
DEN/21/0028,DHT233,31
DEN/21/0028,ICT 201,28
DEN/21/0026,ICT 201,28
DEN/21/0025,ICT 201,24
PHY/21/0015,ICT 201,27
DEN/22/0029,ICT 201,21
DEN/21/0029,ICT 201,27
DEN/21/0027,ICT 201,33
DEN/22/0029,DHT233,26
DEN/21/0029,DHT233,34
DEN/21/0027,DHT233,31
PHM/21/0052,PHT 238,32
PHM/21/0051,PHT 238,36
PHM/21/0049,PHT 238,34
PHM/22/0032,PHT 238,38
PHM/21/0047,PHT 238,32
PHM/21/0043,PHT 238,30
PHM/21/0050,PHT 238,36
PHM/22/0049,PHT 238,28
PHM/21/0042,PHT 238,28
PHM/21/0052,FRE 201,13
PHM/21/0051,FRE 201,36
PHM/21/0049,FRE 201,18
PHM/22/0032,FRE 201,18
PHM/21/0047,FRE 201,34
PHM/21/0043,FRE 201,26
PHM/21/0050,FRE 201,37
PHM/22/0049,FRE 201,34
PHM/21/0042,FRE 201,29
PHM/21/0042,BMR 231,27
PHM/22/0049,BMR 231,24
PHM/21/0050,BMR 231,26
PHM/21/0043,BMR 231,35
PHM/21/0047,BMR 231,36
PHM/22/0032,BMR 231,33
PHM/21/0049,BMR 231,27
PHM/21/0051,BMR 231,32
PHM/21/0052,BMR 231,25
PHM/21/0052,PHT 231,0
PHM/21/0051,PHT 231,0
PHM/21/0049,PHT 231,0
PHM/22/0032,PHT 231,0
PHM/21/0047,PHT 231,0
PHM/21/0043,PHT 231,0
PHM/21/0050,PHT 231,0
PHM/22/0049,PHT 231,0
PHM/21/0042,PHT 231,0
PHM/21/0052,PHT 236,14
PHM/21/0051,PHT 236,24
PHM/21/0049,PHT 236,18
PHM/22/0032,PHT 236,23
PHM/21/0047,PHT 236,28
PHM/21/0043,PHT 236,26
PHM/21/0050,PHT 236,27
PHM/22/0049,PHT 236,16
PHM/21/0042,PHT 236,36
PHM/21/0052,ENG 201,24
PHM/21/0051,ENG 201,37
PHM/21/0049,ENG 201,25
PHM/22/0032,ENG 201,34
PHM/21/0047,ENG 201,39
PHM/21/0043,ENG 201,37
PHM/21/0050,ENG 201,34
PHM/22/0049,ENG 201,31
PHM/21/0042,ENG 201,33
PHM/21/0052,NU 237,20
PHM/21/0051,NU 237,33
PHM/21/0049,NU 237,23
PHM/22/0032,NU 237,25
PHM/21/0047,NU 237,32
PHM/21/0043,NU 237,32
PHM/21/0050,NU 237,36
PHM/22/0049,NU 237,26
PHM/21/0042,NU 237,33
PHM/21/0052,PHT 234,23
PHM/21/0051,PHT 234,28
PHM/21/0049,PHT 234,25
PHM/22/0032,PHT 234,27
PHM/21/0047,PHT 234,33
PHM/21/0043,PHT 234,29
PHM/21/0050,PHT 234,31
PHM/22/0049,PHT 234,16
PHM/21/0042,PHT 234,28
PHM/21/0052,PHT 233,26
PHM/21/0051,PHT 233,36
PHM/21/0049,PHT 233,33
PHM/22/0032,PHT 233,36
PHM/21/0047,PHT 233,35
PHM/21/0043,PHT 233,38
PHM/21/0050,PHT 233,39
PHM/22/0049,PHT 233,30
PHM/21/0042,PHT 233,39
PHM/21/0052,PHT 235,19
PHM/21/0051,PHT 235,31
PHM/21/0049,PHT 235,24
PHM/22/0032,PHT 235,27
PHM/21/0047,PHT 235,28
PHM/21/0043,PHT 235,29
PHM/21/0050,PHT 235,33
PHM/22/0049,PHT 235,24
PHM/21/0042,PHT 235,29
PHM/21/0042,PHT 232,32
PHM/22/0049,PHT 232,21
PHM/21/0050,PHT 232,33
PHM/21/0043,PHT 232,40
PHM/21/0047,PHT 232,34
PHM/22/0032,PHT 232,23
PHM/21/0049,PHT 232,26
PHM/21/0051,PHT 232,32
MDW/21/0040,MID 238,30
MDW/21/0041,MID 238,31
MDW/21/0042,MID 238,34
MDW/21/0044,MID 238,28
MDW/21/0045,MID 238,31
MDW/21/0047,MID 238,32
MDW/21/0040,MID 239,30
MDW/21/0041,MID 239,33
MDW/21/0042,MID 239,32
MDW/21/0044,MID 239,29
MDW/21/0047,MID 239,28
MDW/21/0040,MID 235,30
MDW/21/0041,MID 235,33
MDW/21/0042,MID 235,32
MDW/21/0044,MID 235,30
MDW/21/0047,MID 235,32
MDW/21/0040,MID 232,30
MDW/21/0041,MID 232,31
MDW/21/0042,MID 232,21
MDW/21/0044,MID 232,31
MDW/21/0047,MID 232,31
MDW/21/0040,ENG 201,38
MDW/21/0041,ENG 201,38
MDW/21/0042,ENG 201,35
MDW/21/0044,ENG 201,33
MDW/21/0047,ENG 201,36
MDW/21/0040,MID 2311,14
MDW/21/0041,MID 2311,29
MDW/21/0042,MID 2311,27
MDW/21/0044,MID 2311,13
MDW/21/0047,MID 2311,32
MDW/21/0040,MID 231,17
MDW/21/0041,MID 231,25
MDW/21/0042,MID 231,22
MDW/21/0044,MID 231,27
MDW/21/0047,MID 231,26
MIT/21/0029,MIT232 ,31
MIT/21/0025,MIT232 ,30
MIT/21/0028,MIT232 ,29
MIT/21/0024,MIT232 ,20
PHM/21/0023,MIT232 ,27
MIT/21/0027,MIT232 ,30
MIT/21/0026,MIT232 ,29
MIT/21/0029,MIT234 ,39
MIT/21/0025,MIT234 ,33
MIT/21/0028,MIT234 ,35
MIT/21/0024,MIT234 ,24
PHM/21/0023,MIT234 ,22
MIT/21/0027,MIT234 ,31
MIT/21/0026,MIT234 ,34
MIT/21/0029,MIT237,34
MIT/21/0025,MIT237,32
MIT/21/0028,MIT237,34
MIT/21/0024,MIT237,25
PHM/21/0023,MIT237,32
MIT/21/0027,MIT237,33
MIT/21/0026,MIT237,32
MIT/21/0029,MIT236,34
MIT/21/0025,MIT236,34
MIT/21/0028,MIT236,34
MIT/21/0024,MIT236,17
PHM/21/0023,MIT236,35
MIT/21/0027,MIT236,27
MIT/21/0026,MIT236,32
MIT/21/0029,MIT233,37
MIT/21/0025,MIT233,29
MIT/21/0028,MIT233,32
MIT/21/0024,MIT233,22
PHM/21/0023,MIT233,29
MIT/21/0027,MIT233,31
MIT/21/0026,MIT233,34
MIT/21/0024,MIT231,18
MIT/21/0028,MIT231,32
MIT/21/0025,MIT231,34
MIT/21/0029,MIT231,38
PHM/21/0023,MIT231,32
MIT/21/0027,MIT231,28
MIT/21/0026,MIT231,30
MIT/21/0029,MIT 230,36
MIT/21/0026,MIT238,31
MIT/21/0027,MIT238,31
PHM/21/0023,MIT238,28
MIT/21/0024,MIT238,25
MIT/21/0028,MIT238,34
MIT/21/0025,MIT238,33
MIT/21/0029,MIT238,36
MIT/21/0025,MIT 230,35
MIT/21/0028,MIT 230,35
MIT/21/0024,MIT 230,26
PHM/21/0023,MIT 230,36
MIT/21/0027,MIT 230,36
MIT/21/0026,MIT 230,34
MIT/21/0029,NU232,29
MIT/21/0025,NU232,27
MIT/21/0028,NU232,30
MIT/21/0024,NU232,19
PHM/21/0023,NU232,23
MIT/21/0027,NU232,27
MIT/21/0026,NU232,34
MIT/21/0029,"BMR231	",39
MIT/21/0025,"BMR231	",34
MIT/21/0028,"BMR231	",35
MIT/21/0024,"BMR231	",28
PHM/21/0023,"BMR231	",29
MIT/21/0027,"BMR231	",35
MIT/21/0026,"BMR231	",28
MIT/21/0029,NUS 231,27
MIT/21/0025,NUS 231,27
MIT/21/0028,NUS 231,28
MIT/21/0024,NUS 231,21
PHM/21/0023,NUS 231,11
MIT/21/0027,NUS 231,25
MIT/21/0026,NUS 231,25
DEN/21/0028,NU232,24
DEN/21/0026,NU232,30
DEN/21/0025,NU232,28
PHY/21/0015,NU232,16
DEN/22/0029,NU232,23
DEN/21/0029,NU232,33
DEN/21/0027,NU232,30
MIT/21/0029,ENG 201,36
MIT/21/0025,ENG 201,31
MIT/21/0028,ENG 201,33
MIT/21/0024,ENG 201,31
PHM/21/0023,ENG 201,36
MIT/21/0027,ENG 201,31
MIT/21/0026,ENG 201,34
DEN/21/0025,FRE 101,21
DEN/21/0026,FRE 101,36
DEN/21/0027,FRE 101,22
DEN/21/0028,FRE 101,24
DEN/21/0029,FRE 101,25
DEN/22/0029,FRE 101,30
PHY/21/0015,FRE 101,30
NSG/22/0418,NU 231,0
NSG/22/0332,NU 231,0
NSG/22/0272,NU 231,0
NSG/21/0255,NU 231,33
NSG/21/0281,NU 231,32
NSG/21/0271,NU 231,31
NSG/21/0285,NU 231,29
NSG/21/0266,NU 231,29
NSG/21/0270,NU 231,29
NSG/21/0311,NU 231,29
NSG/21/0295,NU 231,28
NSG/21/0265,NU 231,27
NSG/21/0300,NU 231,27
NSG/21/0292,NU 231,26
NSG/21/0284,NU 231,25
NSG/21/0286,NU 231,25
NSG/22/0278,NU 231,24
NSG/21/0274,NU 231,24
NSG/21/0287,NU 231,24
NSG/21/0296,NU 231,24
NSG/21/0263,NU 231,24
NSG/21/0259,NU 231,24
NSG/21/0279,NU 231,24
NSG/21/0298,NU 231,23
NSG/21/0247,NU 231,23
NSG/21/0276,NU 231,22
NSG/21/0291,NU 231,22
NSG/22/0122,NU 231,21
NSG/21/0282,NU 231,21
NSG/22/0346,NU 231,20
NSG/21/0275,NU 231,20
NSG/21/0294,NU 231,20
NSG/21/0301,NU 231,20
NSG/21/0280,NU 231,20
NSG/21/0306,NU 231,20
NSG/21/0241,NU 231,19
NSG/21/0299,NU 231,19
NSG/21/0257,NU 231,19
NSG/21/0248,NU 231,19
NSG/21/0243,NU 231,19
NSG/21/0293,NU 231,19
NSG/21/0310,NU 231,24
NSG/21/0289,NU 231,18
NSG/21/0251,NU 231,18
NSG/21/0260,NU 231,18
NSG/21/0262,NU 231,18
NSG/21/0304,NU 231,18
NSG/21/0303,NU 231,17
NSG/21/0297,NU 231,16
NSG/21/0277,NU 231,21
NSG/21/0253,NU 231,16
NSG/21/0283,NU 231,16
NSG/21/0245,NU 231,16
NSG/22/0447,NU 231,15
NSG/21/0272,NU 231,15
NSG/21/0242,NU 231,15
NSG/22/0364,NU 231,0
NSG/21/0278,NU 231,15
NSG/21/0267,NU 231,13
PHM/21/0046,NU 231,13
NSG/21/0252,NU 231,13
NSG/21/0307,NU 231,13
NSG/21/0309,NU 231,12
MATRICLE,NU 231,0
NSG/21/0304,NU232,33
NSG/21/0252,NU232,24
NSG/22/0122,NU232,32
NSG/21/0260,NU232,30
NSG/21/0303,NU232,26
NSG/21/0278,NU232,18
NSG/21/0245,NU232,19
NSG/22/0272,NU232,0
NSG/21/0301,NU232,26
NSG/21/0263,NU232,33
NSG/21/0247,NU232,31
NSG/21/0251,NU232,31
NSG/21/0271,NU232,29
NSG/21/0293,NU232,20
NSG/21/0284,NU232,34
NSG/21/0281,NU232,34
NSG/22/0332,NU232,0
NSG/21/0309,NU232,31
NSG/21/0296,NU232,29
NSG/21/0243,NU232,16
NSG/21/0294,NU232,24
NSG/21/0307,NU232,23
NSG/21/0266,NU232,31
NSG/21/0248,NU232,26
NSG/21/0291,NU232,33
NSG/21/0279,NU232,25
NSG/21/0289,NU232,27
NSG/21/0306,NU232,30
NSG/21/0280,NU232,20
NSG/21/0262,NU232,18
NSG/22/0364,NU232,28
NSG/21/0311,NU232,31
NSG/21/0283,NU232,33
NSG/21/0295,NU232,30
NSG/21/0255,NU232,33
NSG/21/0270,NU232,33
NSG/21/0310,NU232,0
NSG/21/0300,NU232,25
NSG/21/0275,NU232,32
NSG/21/0253,NU232,31
NSG/21/0287,NU232,30
NSG/21/0242,NU232,18
NSG/22/0418,NU232,0
NSG/21/0265,NU232,22
PHM/21/0046,NU232,25
NSG/21/0259,NU232,33
NSG/21/0276,NU232,26
NSG/21/0274,NU232,25
NSG/21/0285,NU232,35
NSG/21/0286,NU232,31
NSG/22/0278,NU232,17
NSG/21/0257,NU232,31
NSG/22/0346,NU232,28
NSG/21/0282,NU232,31
NSG/21/0277,NU232,0
NSG/21/0267,NU232,31
NSG/21/0297,NU232,26
NSG/21/0272,NU232,33
NSG/21/0292,NU232,28
NSG/22/0447,NU232,13
NSG/21/0299,NU232,36
NSG/21/0241,NU232,33
NSG/21/0298,NU232,31
MATRICLE,NU 2311,0
NSG/21/0304,NU 2311,32
NSG/21/0252,NU 2311,18
NSG/22/0122,NU 2311,30
NSG/21/0260,NU 2311,25
NSG/21/0303,NU 2311,32
NSG/21/0278,NU 2311,0
NSG/21/0245,NU 2311,19
NSG/21/0301,NU 2311,31
NSG/21/0263,NU 2311,40
NSG/21/0247,NU 2311,37
NSG/21/0251,NU 2311,25
NSG/21/0271,NU 2311,39
NSG/21/0293,NU 2311,29
NSG/21/0284,NU 2311,34
NSG/21/0281,NU 2311,34
NSG/21/0309,NU 2311,21
NSG/21/0296,NU 2311,38
NSG/21/0243,NU 2311,9
NSG/21/0294,NU 2311,28
NSG/21/0307,NU 2311,19
NSG/21/0266,NU 2311,34
NSG/21/0248,NU 2311,24
NSG/21/0291,NU 2311,32
NSG/21/0279,NU 2311,32
NSG/21/0289,NU 2311,30
NSG/21/0306,NU 2311,27
NSG/21/0280,NU 2311,20
NSG/21/0262,NU 2311,25
NSG/22/0364,NU 2311,18
NSG/21/0311,NU 2311,33
NSG/21/0283,NU 2311,34
NSG/21/0295,NU 2311,23
NSG/21/0255,NU 2311,36
NSG/21/0270,NU 2311,22
NSG/21/0310,NU 2311,0
NSG/21/0300,NU 2311,31
NSG/21/0275,NU 2311,25
NSG/21/0253,NU 2311,28
NSG/21/0287,NU 2311,31
NSG/21/0242,NU 2311,13
NSG/22/0418,NU 2311,0
NSG/21/0265,NU 2311,17
PHM/21/0046,NU 2311,18
NSG/21/0259,NU 2311,21
NSG/21/0276,NU 2311,18
NSG/21/0274,NU 2311,28
NSG/21/0285,NU 2311,37
NSG/21/0286,NU 2311,29
NSG/22/0278,NU 2311,25
NSG/21/0257,NU 2311,28
NSG/22/0346,NU 2311,33
NSG/21/0282,NU 2311,30
NSG/21/0277,NU 2311,31
NSG/21/0267,NU 2311,33
NSG/21/0297,NU 2311,25
NSG/21/0272,NU 2311,25
NSG/21/0292,NU 2311,31
NSG/22/0447,NU 2311,20
NSG/21/0299,NU 2311,19
NSG/21/0241,NU 2311,28
NSG/21/0298,NU 2311,33
NSG/21/0304,ENG 201,36
NSG/21/0252,ENG 201,27
NSG/22/0122,ENG 201,38
NSG/21/0260,ENG 201,35
NSG/21/0303,ENG 201,23
NSG/21/0278,ENG 201,27
NSG/21/0245,ENG 201,33
NSG/21/0301,ENG 201,21
NSG/21/0263,ENG 201,36
NSG/21/0247,ENG 201,34
NSG/21/0251,ENG 201,34
NSG/21/0271,ENG 201,36
NSG/21/0293,ENG 201,32
NSG/21/0284,ENG 201,30
NSG/21/0281,ENG 201,35
NSG/21/0309,ENG 201,33
NSG/21/0296,ENG 201,31
NSG/21/0243,ENG 201,26
NSG/21/0294,ENG 201,31
NSG/21/0307,ENG 201,28
NSG/21/0266,ENG 201,38
NSG/21/0248,ENG 201,27
NSG/21/0291,ENG 201,33
NSG/21/0279,ENG 201,32
NSG/21/0289,ENG 201,32
NSG/21/0306,ENG 201,34
NSG/21/0280,ENG 201,36
NSG/21/0262,ENG 201,28
NSG/22/0364,ENG 201,26
NSG/21/0311,ENG 201,38
NSG/21/0283,ENG 201,37
NSG/21/0295,ENG 201,34
NSG/21/0255,ENG 201,37
NSG/21/0270,ENG 201,39
NSG/21/0310,ENG 201,0
NSG/21/0300,ENG 201,34
NSG/21/0275,ENG 201,36
NSG/21/0253,ENG 201,34
NSG/21/0287,ENG 201,37
NSG/21/0242,ENG 201,25
NSG/22/0418,ENG 201,26
NSG/21/0265,ENG 201,31
PHM/21/0046,ENG 201,28
NSG/21/0259,ENG 201,33
NSG/21/0276,ENG 201,30
NSG/21/0274,ENG 201,34
NSG/21/0285,ENG 201,35
NSG/21/0286,ENG 201,37
NSG/22/0278,ENG 201,31
NSG/21/0257,ENG 201,38
NSG/22/0346,ENG 201,33
NSG/21/0282,ENG 201,37
NSG/21/0277,ENG 201,0
NSG/21/0267,ENG 201,37
NSG/21/0297,ENG 201,28
NSG/21/0272,ENG 201,34
NSG/21/0292,ENG 201,33
NSG/22/0447,ENG 201,28
NSG/21/0299,ENG 201,37
NSG/21/0241,ENG 201,36
NSG/21/0298,ENG 201,33
MATRICLE,FRE 201,0
NSG/21/0304,FRE 201,34
NSG/21/0252,FRE 201,14
NSG/22/0122,FRE 201,29
NSG/21/0260,FRE 201,33
NSG/21/0303,FRE 201,24
NSG/21/0278,FRE 201,29
NSG/21/0245,FRE 201,37
NSG/21/0301,FRE 201,10
NSG/21/0263,FRE 201,37
NSG/21/0247,FRE 201,35
NSG/21/0251,FRE 201,31
NSG/21/0271,FRE 201,39
NSG/21/0293,FRE 201,26
NSG/21/0284,FRE 201,32
NSG/21/0281,FRE 201,31
NSG/21/0309,FRE 201,27
NSG/21/0296,FRE 201,37
NSG/21/0243,FRE 201,30
NSG/21/0294,FRE 201,38
NSG/21/0307,FRE 201,26
NSG/21/0266,FRE 201,33
NSG/21/0248,FRE 201,32
NSG/21/0291,FRE 201,28
NSG/21/0279,FRE 201,26
NSG/21/0289,FRE 201,23
NSG/21/0306,FRE 201,22
NSG/21/0280,FRE 201,27
NSG/21/0262,FRE 201,18
NSG/22/0364,FRE 201,20
NSG/21/0311,FRE 201,29
NSG/21/0283,FRE 201,26
NSG/21/0295,FRE 201,31
NSG/21/0255,FRE 201,35
NSG/21/0270,FRE 201,33
NSG/21/0300,FRE 201,38
NSG/21/0275,FRE 201,33
NSG/21/0253,FRE 201,30
NSG/21/0287,FRE 201,32
NSG/21/0242,FRE 201,18
NSG/22/0418,FRE 201,20
NSG/21/0265,FRE 201,23
PHM/21/0046,FRE 201,20
NSG/21/0259,FRE 201,28
NSG/21/0276,FRE 201,33
NSG/21/0274,FRE 201,25
NSG/21/0285,FRE 201,37
NSG/21/0286,FRE 201,32
NSG/22/0278,FRE 201,24
NSG/21/0257,FRE 201,24
NSG/22/0346,FRE 201,21
NSG/21/0282,FRE 201,22
NSG/21/0277,FRE 201,36
NSG/21/0267,FRE 201,22
NSG/21/0297,FRE 201,13
NSG/21/0272,FRE 201,32
NSG/21/0292,FRE 201,39
NSG/22/0447,FRE 201,19
NSG/21/0299,FRE 201,37
NSG/21/0241,FRE 201,35
NSG/21/0298,FRE 201,0
NSG/21/0310,FRE 201,0
NSG/22/0272,FRE 201,0
MATRICLE,NU 237,0
NSG/21/0304,NU 237,30
NSG/21/0252,NU 237,26
NSG/22/0122,NU 237,30
NSG/21/0260,NU 237,26
NSG/21/0303,NU 237,25
NSG/21/0278,NU 237,26
NSG/21/0245,NU 237,21
NSG/21/0301,NU 237,24
NSG/21/0263,NU 237,30
NSG/21/0247,NU 237,32
NSG/21/0251,NU 237,30
NSG/21/0271,NU 237,38
NSG/21/0293,NU 237,27
NSG/21/0284,NU 237,36
NSG/21/0281,NU 237,35
NSG/21/0309,NU 237,30
NSG/21/0296,NU 237,29
NSG/21/0243,NU 237,24
NSG/21/0294,NU 237,26
NSG/21/0307,NU 237,28
NSG/21/0266,NU 237,33
NSG/21/0248,NU 237,30
NSG/21/0291,NU 237,26
NSG/21/0279,NU 237,19
NSG/21/0289,NU 237,31
NSG/21/0306,NU 237,27
NSG/21/0280,NU 237,30
NSG/21/0262,NU 237,27
NSG/22/0364,NU 237,24
NSG/21/0311,NU 237,35
NSG/21/0283,NU 237,35
NSG/21/0295,NU 237,29
NSG/21/0255,NU 237,36
NSG/21/0270,NU 237,25
NSG/21/0310,NU 237,31
NSG/21/0300,NU 237,28
NSG/21/0275,NU 237,31
NSG/21/0253,NU 237,29
NSG/21/0287,NU 237,35
NSG/21/0242,NU 237,19
NSG/22/0418,NU 237,31
NSG/21/0265,NU 237,25
PHM/21/0046,NU 237,23
NSG/21/0259,NU 237,28
NSG/21/0276,NU 237,25
NSG/21/0274,NU 237,35
NSG/21/0285,NU 237,36
NSG/21/0286,NU 237,25
NSG/22/0278,NU 237,29
NSG/21/0257,NU 237,29
NSG/22/0346,NU 237,30
NSG/21/0282,NU 237,29
NSG/21/0277,NU 237,38
NSG/21/0267,NU 237,28
NSG/21/0297,NU 237,21
NSG/21/0272,NU 237,28
NSG/21/0292,NU 237,29
NSG/22/0447,NU 237,22
NSG/21/0299,NU 237,33
NSG/21/0241,NU 237,31
NSG/21/0298,NU 237,31
NSG/22/0272,NU 237,0
NSG/21/0304,NU 234,30
NSG/21/0252,NU 234,28
NSG/22/0122,NU 234,37
NSG/21/0260,NU 234,30
NSG/21/0303,NU 234,24
NSG/21/0278,NU 234,21
NSG/21/0245,NU 234,21
NSG/21/0301,NU 234,17
NSG/21/0263,NU 234,31
NSG/21/0247,NU 234,33
NSG/21/0251,NU 234,24
NSG/21/0271,NU 234,38
NSG/21/0293,NU 234,25
NSG/21/0284,NU 234,36
NSG/21/0281,NU 234,38
NSG/21/0309,NU 234,22
NSG/21/0296,NU 234,28
NSG/21/0243,NU 234,19
NSG/21/0294,NU 234,24
NSG/21/0307,NU 234,22
NSG/21/0266,NU 234,32
NSG/21/0248,NU 234,31
NSG/21/0291,NU 234,33
NSG/21/0279,NU 234,30
NSG/21/0289,NU 234,31
NSG/21/0306,NU 234,34
NSG/21/0280,NU 234,28
NSG/21/0262,NU 234,23
NSG/22/0364,NU 234,25
NSG/21/0311,NU 234,32
NSG/21/0283,NU 234,20
NSG/21/0295,NU 234,30
NSG/21/0255,NU 234,35
NSG/21/0270,NU 234,36
NSG/21/0310,NU 234,35
NSG/21/0300,NU 234,31
NSG/21/0275,NU 234,30
NSG/21/0253,NU 234,32
NSG/21/0287,NU 234,31
NSG/21/0242,NU 234,24
NSG/22/0418,NU 234,20
NSG/21/0265,NU 234,26
PHM/21/0046,NU 234,23
NSG/21/0259,NU 234,33
NSG/21/0276,NU 234,30
NSG/21/0274,NU 234,30
NSG/21/0285,NU 234,36
NSG/21/0286,NU 234,30
NSG/22/0278,NU 234,24
NSG/21/0257,NU 234,30
NSG/22/0346,NU 234,34
NSG/21/0282,NU 234,35
NSG/21/0277,NU 234,0
NSG/21/0267,NU 234,31
NSG/21/0297,NU 234,21
NSG/21/0272,NU 234,35
NSG/21/0292,NU 234,30
NSG/22/0447,NU 234,17
NSG/21/0299,NU 234,34
NSG/21/0241,NU 234,30
NSG/21/0298,NU 234,27
NSG/22/0272,NU 234,0
NSG/21/0304,NU 235,34
NSG/21/0252,NU 235,31
NSG/22/0122,NU 235,32
NSG/21/0260,NU 235,32
NSG/21/0303,NU 235,25
NSG/21/0278,NU 235,27
NSG/21/0245,NU 235,21
NSG/21/0301,NU 235,33
NSG/21/0263,NU 235,34
NSG/21/0247,NU 235,33
NSG/21/0251,NU 235,23
NSG/21/0271,NU 235,34
NSG/21/0293,NU 235,30
NSG/21/0284,NU 235,34
NSG/21/0281,NU 235,34
NSG/21/0309,NU 235,20
NSG/21/0296,NU 235,32
NSG/21/0243,NU 235,22
NSG/21/0294,NU 235,34
NSG/21/0307,NU 235,27
NSG/21/0266,NU 235,35
NSG/21/0248,NU 235,35
NSG/21/0291,NU 235,36
NSG/21/0279,NU 235,28
NSG/21/0289,NU 235,30
NSG/21/0306,NU 235,30
NSG/21/0280,NU 235,28
NSG/21/0262,NU 235,31
NSG/22/0364,NU 235,30
NSG/21/0311,NU 235,32
NSG/21/0283,NU 235,32
NSG/21/0295,NU 235,29
NSG/21/0255,NU 235,35
NSG/21/0270,NU 235,33
NSG/21/0310,NU 235,37
NSG/21/0300,NU 235,33
